OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
223541772,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,18,6,401010.26737857,135846.46135466,,DC
223541773,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,2,9,403479.93073282,133487.02816607,,DC
223541774,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,18,12,401072.83909032,136331.6849909,,DC
223541775,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,0,23,396688.84082399,138631.06089313,,DC
223541776,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,0,39,397582.47982913,136724.06141167,,DC
223541777,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,,,NO,5,20,397257.20836553,136296.78677707,,DC
223541778,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,,,NO,1,16,396116.0947985,137894.78124868,,DC
223541779,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,0,15,398602.81213383,136388.57162835,,DC
223541780,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,1,34,396217.55940232,136051.44360649,,DC
223541781,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,2,20,393785.30362802,137766.94307056,,DC
223541782,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,18,1,400747.47205932,136903.4496248,,DC
223541783,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,2,13,395360.75356309,137331.48834951,,DC
223541784,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,21,30,399572.33452251,136567.84875416,,DC
223541785,114,North Capitol St & F St NW,31624,38.897446,-77.009888,YES,NO,,,NO,0,21,399142.24595819,136621.83352922,,DC
223541786,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,8,11,397646.21680293,137528.07359221,,DC
223541787,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,12,2,393900.88891277,139414.32818096,,DC
223541788,117,14th & G St NW,31238,38.898385,-77.031666,YES,NO,,,NO,2,18,397253.10664721,136726.49998198,,DC
223541789,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,21,1,395612.7850665,130691.76225178,,
223541790,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,0,27,395959.43911633,135143.52730167,,DC
223541791,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,1,14,397660.01398863,136667.7570737,,DC
223541792,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,2,16,395672.80643508,136473.99663923,,DC
223541793,127,Lynn & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,7,23,393841.56164086,136609.63967085,,
223541794,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,4,14,393727.51072873,136308.34254655,,
223541795,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,6,6,393373.11414719,136179.63995377,,
223541796,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,,,NO,1,14,392660.61582418,135986.8924231,,
223541797,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,YES,NO,,,NO,7,3,393113.95026708,136038.43697471,,
223541798,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,,,NO,7,7,404156.7748465,133086.6176774,,DC
223541799,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,,,NO,1,13,395960.17160973,136069.22097211,,DC
223541800,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,,,NO,5,10,391974.9565944,135688.28027547,,
223541801,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,,,NO,12,7,396212.12597888,139200.636678,,DC
223541802,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,YES,NO,,,NO,2,20,396547.71101083,137571.65850828,,DC
223541803,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,,,NO,2,30,397181.05762675,137560.75091601,,DC
223541804,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,YES,NO,,,NO,0,9,392287.43385198,135843.38082737,,
223541805,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,,,NO,1,14,391924.53555307,135588.42446277,,
223541806,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,,,NO,1,16,391768.77673525,135561.94292851,,
223541807,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,,,NO,1,25,396396.73056387,136870.59871663,,DC
223541808,142,4th & C St SW,31243,38.886372,-77.017701,YES,NO,,,NO,2,29,398464.25352264,135392.63496554,,DC
223541809,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,,,NO,3,15,398486.41642165,135142.64129491,,DC
223541810,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,,,NO,3,16,399841.39039203,134816.69073244,,DC
223541811,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,,,NO,13,1,398078.53235602,138317.44722014,,DC
223541812,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,,,NO,11,1,397824.00484445,141545.75347825,,DC
223541813,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,,,NO,10,5,398934.23503524,138616.78618346,,DC
223541814,148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,YES,NO,,,NO,15,3,397936.74344645,140027.23478731,,DC
223541815,149,California St & Florida Ave NW,31116,38.917761,-77.04062,YES,NO,,,NO,4,15,396477.34162756,138877.70174796,,DC
223541816,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,YES,NO,,,NO,7,11,405445.68021157,135789.87902946,,DC
223541817,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,YES,NO,,,NO,1,14,395179.17550824,140268.32354902,,DC
223541818,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,YES,NO,,,NO,13,1,403459.51281234,136522.41355417,,DC
223541819,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,YES,NO,,,NO,0,17,395065.75667991,137475.86623703,,DC
223541820,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,YES,NO,,,NO,12,3,401425.5417836,135497.84971905,,DC
223541821,155,Congress Heights Metro,31806,38.844711,-76.987823,YES,NO,,,NO,4,11,401057.09871953,130767.87922723,,DC
223541822,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,YES,NO,,,NO,7,3,390651.55922442,134290.2570428,,
223541823,157,Barcroft Community Center,31033,38.850337,-77.100989,YES,NO,,,NO,4,7,391233.72684756,131397.18311219,,
223541824,158,N Veitch  & 20th St N,31029,38.896923,-77.086502,YES,NO,,,NO,10,4,392496.15967477,136567.28510903,,
223541825,159,10th & K St NW,31263,38.9024,-77.02622,YES,NO,,,NO,1,21,397725.65241957,137172.04739912,,DC
223541826,160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,YES,NO,,,NO,0,10,391519.53488356,135333.64078152,,
223541827,161,Key Blvd & N Quinn St,31027,38.896355,-77.078408,YES,NO,,,NO,4,6,393198.24035826,136503.59842391,,
223540685,176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,YES,NO,,,NO,3,20,390302.23781937,134806.97373735,,
223540686,177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,YES,NO,,,NO,4,7,390510.86258655,134982.66832544,,
223540687,178,Jefferson Memorial,31249,38.879819,-77.037413,YES,NO,,,NO,2,16,396753.73375318,134665.71792817,,DC
223540688,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,YES,NO,,,NO,8,7,401281.11228246,133198.96929326,,DC
223540689,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,YES,NO,,,NO,1,10,389864.56068615,135126.89103108,,
