OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
223540776,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,1,18,392546.66110808,143765.03951761,,
223540777,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,3,12,397234.815588,139245.17181709,,DC
223540778,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,2,15,399791.74179325,134131.220022,,DC
223540779,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,18,0,397773.74796634,139168.73911509,,DC
223540780,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,8,7,400480.02354886,134322.94186107,,DC
223540781,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,5,10,386424.52768958,161344.27440776,,
223540782,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,3,12,383736.53425668,159054.82333901,,
223540783,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,8,7,387094.43314867,157305.3907351,,
223540784,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,12,3,386388.43917458,161729.3311025,,
223540785,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,9,6,397457.28862708,146924.15777926,,
223540786,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,10,5,386847.10375582,159974.10023058,,
223540787,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,3,12,392029.57027544,146062.66507911,,
223540788,283,Dennis & Amherst Ave,32022,39.025387,-77.044563,YES,NO,,,NO,7,7,396141.22801173,150825.37283059,,
223540789,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,16,5,386241.41121024,158637.64923132,,
223540790,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,2,9,397933.4145005,146865.73881136,,
223540791,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,0,15,399028.62364911,145231.02061742,,
223540792,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,0,15,399439.20704805,145556.57211519,,
223540793,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,9,6,391327.8386053,147164.51103503,,
223540794,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,1,10,391315.93174708,146971.81066443,,
223540795,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,6,5,391803.8534602,145467.55036065,,
223540796,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5405711,159359.37466242,,
223540797,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,4,11,388498.44225283,158461.08173,,
223540798,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,14,1,387766.64569552,156489.26883494,,
223540799,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,12,7,384681.99807835,159367.76528288,,
223540800,295,Ripley & Bonifant St,32034,38.992679,-77.029457,YES,NO,,,NO,1,14,397448.10582111,147193.91499269,,
223540801,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,6,3,397266.61108519,147938.74232081,,
223540802,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,0,15,397781.68474404,147677.15218341,,
223540803,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,5,13,385169.33354228,160751.83427443,,
223540804,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,6,8,384201.31311065,160268.14020717,,
223540805,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,6,10,395660.25194765,139524.3986898,,DC
223540806,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,YES,NO,,,NO,17,2,398678.93496158,137689.1287794,,DC
223540807,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,7,4,405910.67420774,136744.99164114,,DC
223540808,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,6,9,405802.5614741,137847.99932996,,DC
223540809,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,5,12,397376.94021436,134511.63048068,,DC
223540810,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,7,4,392256.73815346,133995.68730513,,
223540811,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,YES,NO,,,NO,5,5,395811.77300147,133183.21065875,,
223540812,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,2,17,390502.08229336,147971.28240078,,
223540813,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,17,2,392315.96955553,143697.21146898,,
223540814,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,3,16,399227.02220444,136872.3698297,,DC
223540815,311,31st & Woodrow St S,31072,38.837666,-77.09482,YES,NO,,,NO,1,10,391767.76100852,129990.04042841,,
223540816,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,7,8,392875.30889503,133935.6067688,,
223540817,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,5,9,391704.07999902,133514.80715931,,
223540818,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,YES,NO,,,NO,0,15,394621.86255124,141475.56998399,,DC
223540819,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,5,10,383008.38939989,159468.76971438,,
223540820,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,7,12,382990.30463098,158863.23308023,,
223541828,162,1st & K St SE,31628,38.878854,-77.005727,YES,NO,,,NO,10,5,399503.07062433,134557.94595692,,DC
223541829,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,7,11,393299.34379144,139422.36308098,,DC
223541830,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,5,9,398919.86707704,140096.08692818,,DC
223541831,165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,0,19,391050.38685989,134999.69056817,,
223541832,166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,7,3,390644.30934888,135131.37099114,,
223541833,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,3,11,391889.01580315,135214.80848005,,
223541834,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,3,20,397186.53186857,135635.0937417,,DC
223541835,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,1,34,397520.46999936,135658.73782359,,DC
223541836,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,6,8,389526.91727648,134566.63015205,,
223541837,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,1,18,398270.19576117,136303.05019148,,DC
223541838,172,N Veitch & Key Blvd,31028,38.893401,-77.085867,YES,NO,,,NO,3,7,392550.87662962,136176.26338223,,
223541839,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,11,7,392278.83629398,136457.26307774,,
223541840,174,15th & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,8,2,392977.15386494,135858.28028852,,
223541841,175,Washington Blvd & 7th St N,31032,38.880834,-77.091129,YES,NO,,,NO,3,7,392092.9958064,134781.67205596,,
223540821,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,4,6,397930.17345122,147722.84809045,,
223540822,318,Rockville Metro East,32044,39.085394,-77.145803,YES,NO,,,NO,13,0,387385.36031083,157495.97307419,,
223540823,319,1st & H St NW,31638,38.900358,-77.012108,YES,NO,,,NO,0,14,398949.71056005,136945.11200625,,DC
223540824,320,Fort Totten Metro,31515,38.952369,-77.002721,YES,NO,,,NO,14,4,399764.14322203,142718.71185822,,DC
223540825,321,Takoma Metro,31408,38.975219,-77.016855,YES,NO,,,NO,0,0,398539.47386044,145255.40691126,,DC
223540826,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,YES,NO,,,NO,0,19,400357.62798091,139201.18164889,,DC
223540827,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,YES,NO,,,NO,3,7,393392.99961931,133186.07966769,,
223540828,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,YES,NO,,,NO,7,7,392439.72224526,130238.69248395,,
223540829,325,Shady Grove Metro West,32045,39.119765,-77.166093,YES,NO,,,NO,8,11,385636.84639948,161314.58449914,,
223540830,326,River Rd & Landy Ln,32046,38.964992,-77.103381,YES,NO,,,NO,10,9,391040.50480235,144125.05115003,,
223540831,327,Rockville Metro West,32047,39.084379,-77.146866,YES,NO,,,NO,6,13,387293.21007282,157383.44319069,,
223540832,328,Bethesda Metro,32048,38.984691,-77.094537,YES,NO,,,NO,4,8,391809.23272994,146310.99720784,,
223541473,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,YES,NO,,,NO,10,9,393814.20236548,135788.75739915,,
223541474,330,34th & Water St NW,31314,38.903663,-77.067668,YES,NO,,,NO,0,19,394130.51811026,137314.0993687,,DC
223541475,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,YES,NO,,,NO,9,5,394713.17102609,126292.34142583,,
223541476,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,YES,NO,,,NO,10,5,392045.89232185,136347.70672975,,
223541477,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,YES,NO,,,NO,4,11,390931.12467668,133518.31847561,,
223541478,334,10th & G St NW,31274,38.898243,-77.026235,YES,NO,,,NO,0,21,397724.21868838,136710.587443,,DC
223541479,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,7,5,392986.43793208,136643.32022975,,
223541480,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,10,8,395568.88566438,137101.36038208,,DC
223541481,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,8,7,394010.54617838,125930.1835293,,
223541482,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,11,0,395875.6679074,128220.0552696,,
223541483,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,9,10,394478.86466732,126103.67942378,,
223541484,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,3,7,394996.30487652,128033.40446264,,
223541485,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,4,11,394916.65642773,128686.84003154,,
223541486,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,5,8,395389.14299363,128129.51994126,,
223541487,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,13,1,394806.02748043,129478.05665833,,
223541488,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,1,18,392643.06650429,135866.57615407,,
223541489,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,11,2,399996.96765659,146534.54829125,,
223541490,346,6th & S Ball St,31090,38.864702,-77.048672,YES,NO,,,NO,7,7,395775.91368285,132988.07874506,,
223541491,347,McKinley St & Connecticut Ave NW,31315,38.964544,-77.075135,YES,NO,,,NO,18,1,393488.39756667,144072.9254812,,DC
223541492,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,,,NO,3,18,396977.47844927,137312.16782257,,DC
223541493,349,17th & G St NW,31277,38.89841,-77.039624,YES,NO,,,NO,3,28,396562.78460078,136729.54472867,,DC
223541494,350,Spring St & Second Ave,32050,38.997653,-77.034499,YES,NO,,,NO,4,11,397011.52018405,147746.23200566,,
223541495,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,,,NO,4,13,396371.80070351,138310.16380231,,DC
223541496,352,S Joyce & 16th St S,31091,38.859254,-77.063275,YES,NO,,,NO,9,5,394508.14728183,132384.08827775,,
223541497,353,Union Market/6th St & Neal Pl NE,31517,38.908387,-76.996869,YES,NO,,,NO,6,16,400271.56310823,137836.33107236,,DC
223541498,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,,,NO,5,10,390929.4393853,136517.08391716,,
223541499,355,21st St N & N Pierce St,31093,38.898984,-77.078317,YES,NO,,,NO,3,12,393206.38482175,136795.43149257,,
223541500,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,,,NO,8,5,391574.02398088,136396.59421225,,
223541501,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,,,NO,1,21,396254.14318763,136729.90672594,,DC
223541502,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,YES,NO,,,NO,12,7,399691.25569893,138542.7889275,,DC
223541503,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,,,NO,7,7,388969.49519692,134307.40677263,,
223541504,364,Army Navy Dr & S Nash St,31095,38.86215,-77.068121,YES,NO,,,NO,5,4,394087.78640669,132705.86791113,,
223541505,365,31st & Water St NW,31293,38.902814,-77.061043,YES,NO,,,NO,1,18,394705.10354113,137219.4484204,,DC
223541506,367,11th & S St NW,31280,38.913761,-77.027025,YES,NO,,,NO,9,14,397656.19931508,138433.23161638,,DC
223541507,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,YES,NO,,,NO,3,12,392374.19768093,133148.03121274,,
223541508,369,2nd & G St NE,31639,38.89967,-77.003666,YES,NO,,,NO,22,0,399681.99552091,136868.67522408,,DC
223541509,370,8th & O St NW,31281,38.90864,-77.02277,YES,NO,,,NO,13,5,398025.08145063,137864.65778749,,DC
223541510,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,YES,NO,,,NO,7,11,397585.82737487,143714.82919728,,DC
223541511,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,YES,NO,,,NO,16,1,402183.685683,136292.1725555,,DC
223541512,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,YES,NO,,,NO,11,8,400615.91481674,136476.16859309,,DC
223541513,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,YES,NO,,,NO,16,7,401415.09002301,138637.59947305,,DC
223541514,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,YES,NO,,,NO,3,16,393013.83863539,142034.97914405,,DC
223541515,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,YES,NO,,,NO,4,10,393330.74818065,147355.50381716,,
223541516,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,YES,NO,,,NO,9,6,383153.18792963,159713.13218025,,
223541517,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,YES,NO,,,NO,9,9,389763.20231192,136723.31546751,,
223541518,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,YES,NO,,,NO,6,9,396170.17569938,127217.29681658,,
223541519,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,YES,NO,,,NO,4,11,394804.48092072,126587.77988315,,
223541520,382,Madison & N Henry St,31099,38.813485,-77.049468,YES,NO,,,NO,2,13,395703.75054801,127302.6777771,,
223541521,383,Medical Center Metro,32053,38.999378,-77.097882,YES,NO,,,NO,0,19,391521.16731482,147941.70542165,,
223541522,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,YES,NO,,,NO,1,10,388922.97236949,135228.94699865,,
223541523,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,YES,NO,,,NO,15,4,392664.34410016,143376.84095484,,DC
223541524,386,16th & Irving St NW,31122,38.928893,-77.03625,YES,NO,,,NO,11,8,396856.808607,140113.28859173,,DC
223541525,387,16th & R St NW,31282,38.912652,-77.036278,YES,NO,,,NO,17,1,396853.66429606,138310.40167951,,DC
223541526,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,YES,NO,,,NO,4,11,395567.69234355,147971.8160368,,
223541527,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,YES,NO,,,NO,5,6,391896.62547178,145776.283872,,
223541528,390,14th & L St NW,31283,38.903658,-77.031737,YES,NO,,,NO,1,16,397247.15119261,137311.8474609,,DC
223541529,391,1st & O St NW,31519,38.908643,-77.012365,YES,NO,,,NO,14,0,398927.54207227,137864.81714313,,DC
223541530,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,YES,NO,,,NO,8,11,399293.83485771,129303.10478708,,DC
223541531,393,18th & C St NW,31284,38.893511,-77.041544,YES,NO,,,NO,1,14,396395.98519699,136185.79095053,,DC
223541532,394,22nd & P ST NW,31285,38.909394,-77.048728,YES,NO,,,NO,1,18,395773.70179205,137949.23962405,,DC
223541533,395,East West Hwy & 16th St,32056,38.995681,-77.038721,YES,NO,,,NO,8,11,396645.69611866,147527.46678748,,
223541534,396,Royal & Wilkes St,31903,38.799267,-77.0447,YES,NO,,,NO,15,0,396117.07402725,125724.17677004,,
223541535,397,14th & Girard St NW,31123,38.925284,-77.032375,YES,NO,,,NO,5,17,397192.66283204,139712.53240828,,DC
223541536,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,YES,NO,,,NO,7,11,395721.93521693,128329.81125103,,
223541537,399,11th & O St NW,31286,38.90843,-77.02714,YES,NO,,,NO,16,2,397646.04975824,137841.44968105,,DC
223541538,400,10th St & L'Enfant Plaza SW,31287,38.884323,-77.02601,YES,NO,,,NO,1,22,397743.29626981,135165.35272935,,DC
223541539,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,YES,NO,,,NO,6,12,394355.40758835,142142.03129017,,DC
223541540,402,2nd St & Massachusetts Ave NE,31641,38.894972,-77.003135,YES,NO,,,NO,6,15,399728.03881641,136347.15809919,,DC
223541541,403,Radford & Osage St,31908,38.828437,-77.086031,YES,NO,,,NO,4,18,392529.85317524,128964.8036433,,
223541542,404,East Falls Church Metro/Sycamore St & 19th St N,31904,38.884859,-77.155988,YES,NO,,,NO,9,8,386466.13262254,135236.09428263,,
223541543,405,Kennebec St & 11th St N,31905,38.880992,-77.135271,YES,NO,,,NO,9,6,388262.94832495,134803.96063251,,
223541544,406,Commonwealth Ave & Oak St,31906,38.812711,-77.061715,YES,NO,,,NO,13,6,394640.05213358,127217.4065506,,
223541545,407,Commonwealth & E Monroe Ave,31913,38.820058,-77.062821,YES,NO,,,NO,6,9,394544.55728453,128033.03642625,,
223541546,408,4th St & Madison Dr NW,31288,38.890493,-77.017253,YES,NO,,,NO,2,27,398503.20865538,135850.09061145,,DC
223541547,409,Henry Bacon Dr & Lincoln Memorial Circle NW,31289,38.890544,-77.049379,YES,NO,,,NO,0,17,395716.10712295,135856.76917174,,DC
223541548,410,17th St & Independence Ave SW,31290,38.888097,-77.038325,YES,NO,,,NO,1,17,396674.98675895,135584.67242635,,DC
223541549,411,Franklin & S Washington St,31907,38.798133,-77.0487,YES,NO,,,NO,17,2,395769.54149325,125598.47353608,,
223541550,412,Mount Vernon Ave & Four Mile Run Park,31909,38.843422,-77.064016,YES,NO,,,NO,4,11,394442.60095851,130626.66931776,,
223541551,413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,YES,NO,,,NO,4,16,398788.24933635,137304.80117123,,DC
223541552,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,YES,NO,,,NO,3,12,394522.56553515,130390.05783003,,
223541553,415,Lee Center,31914,38.797557,-77.053766,YES,NO,,,NO,8,7,395329.43195741,125534.78097568,,
223541554,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,YES,NO,,,NO,11,4,395850.39700673,127886.82678479,,
223541555,417,Potomac & Swann Ave,31916,38.829545,-77.047844,YES,NO,,,NO,10,8,395845.72775465,129085.36771264,,
223541556,418,14th & Irving St NW,31124,38.928552,-77.032224,YES,NO,,,NO,23,8,397205.88456877,140075.30373809,,DC
223541557,419,Vermont Ave & I St NW,31291,38.901136,-77.034451,YES,NO,,,NO,5,18,397011.63477773,137031.97048551,,DC
223541558,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,YES,NO,,,NO,2,22,393046.52732614,142438.02422189,,DC
223541559,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,YES,NO,,,NO,13,6,402435.07623743,138307.70879166,,DC
223541560,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,YES,NO,,,NO,1,14,406427.34608733,136620.06609604,,DC
223541561,423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,YES,NO,,,NO,8,15,401530.8771481,133652.36788743,,DC
223541562,424,Spring Hill Metro,32200,38.929261,-77.240654,YES,NO,,,NO,8,6,379133.32906395,140181.01997978,,
223541563,425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,YES,NO,,,NO,4,7,379539.26898978,139599.2725456,,
223541564,427,Tysons One Pl & Chain Bridge Rd,32203,38.919475,-77.221179,YES,NO,,,NO,3,8,380819.33544907,139090.42242219,,
223541565,428,Tysons Corner Station,32204,38.920939,-77.222115,YES,NO,,,NO,2,8,380738.56101699,139253.13535423,,
223541566,429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,YES,NO,,,NO,8,3,381125.46936865,139640.51216859,,
223541567,430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,YES,NO,,,NO,11,0,380988.98002738,140470.51937627,,
223541568,431,Westpark & Park Run Dr,32207,38.928919,-77.225394,YES,NO,,,NO,7,3,380456.39941172,140139.67762131,,
223541569,432,Tysons West Transit Center,32208,38.932636,-77.231825,YES,NO,,,NO,4,7,379899.82535415,140553.69184941,,
223541570,433,North Shore & Cameron Crescent Dr/Crescent Apartments,32209,38.970046,-77.338686,YES,NO,,,NO,11,0,370649.98316139,144735.46493428,,
223541571,434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,YES,NO,,,NO,8,7,368634.8195974,143908.17868719,,
223541572,435,Reston Regional Library,32211,38.962095,-77.358815,YES,NO,,,NO,6,8,368902.1739327,143859.49993933,,
223541573,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,YES,NO,,,NO,4,11,369117.40410412,143689.81045718,,
223541574,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,YES,NO,,,NO,12,3,369520.23453313,143078.24814447,,
223541575,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,,,NO,7,9,368821.70051475,143298.32745781,,
223541576,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,,,NO,3,16,399482.46343538,135230.87572136,,DC
223541577,440,Reston Station,32215,38.948363,-77.338119,YES,NO,,,NO,7,28,370690.20310024,142328.28566882,,
223541578,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,,,NO,5,10,368907.51332443,143586.17197497,,
223541579,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,YES,NO,,,NO,4,11,369003.58432792,143109.22880515,,
223541580,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,,,NO,6,16,395753.69834411,136067.33084543,,DC
223541581,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,,,NO,7,10,407498.73967816,135999.14156768,,DC
223541582,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,,,NO,2,13,369369.40191424,143634.4358956,,
223541583,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,,,NO,7,8,368067.03974401,143110.06678211,,
223541584,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,YES,NO,,,NO,2,9,370495.7444288,142670.91855872,,
223541585,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,YES,NO,,,NO,11,3,393852.62779737,136226.09856392,,
223541586,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,YES,NO,,,NO,7,8,397575.55015788,144399.31612925,,DC
223541587,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,,,NO,3,7,380279.37434818,139492.26880639,,
223541588,451,Madison & Fairfax St,31918,38.812351,-77.040691,YES,NO,,,NO,6,9,396465.96860825,127176.42009605,,
223541589,452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,YES,NO,,,NO,6,9,398586.92327584,146993.256491,,
223541590,453,15th & W St NW,31125,38.919086,-77.034502,YES,NO,,,NO,8,9,397007.96400294,139024.5695478,,DC
223541591,454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,YES,NO,,,NO,14,5,400857.15299711,134961.48951302,,DC
223541592,455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,YES,NO,,,NO,8,7,399805.93693957,143284.19137817,,DC
223541593,456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,YES,NO,,,NO,13,1,390196.30536757,134324.33170588,,
223541594,457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,YES,NO,,,NO,7,4,380906.83105285,138620.75516987,,
223541595,458,6th & K St NE,31645,38.902877,-76.998405,YES,NO,,,NO,14,3,400138.35088416,137224.67283593,,DC
223541596,459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,YES,NO,,,NO,9,6,390720.95043328,149645.2816699,,
223541597,460,Takoma Park Rec Center,32059,38.98265,-76.988311,YES,NO,,,NO,7,8,401012.77423762,146080.24993225,,
223541598,461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,YES,NO,,,NO,5,10,401003.0800788,146685.36332198,,
223541599,462,Wheaton Metro/Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,YES,NO,,,NO,1,18,395582.65145222,152263.70107898,,
223541600,463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,YES,NO,,,NO,5,10,395863.10400444,152990.22852961,,
223541601,464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,YES,NO,,,NO,3,11,395810.0323662,151999.81494344,,
223541602,465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,YES,NO,,,NO,8,6,395404.45083084,152811.19876663,,
223541603,466,Windham Ln & Amherst Ave,32066,39.032029,-77.04735,YES,NO,,,NO,10,5,395900.28028089,151562.82832343,,
223541604,467,North Shore Dr & Village Rd,32223,38.970412,-77.340787,YES,NO,,,NO,10,1,370468.0661928,144776.77171083,,
223541605,468,Town Center Pkwy & Sunset Hills Rd,32224,38.955171,-77.363094,YES,NO,,,NO,8,3,368528.26577752,143092.3443935,,
223541606,469,3rd & Underwood St NW,31413,38.968834,-77.016258,YES,NO,,,NO,7,12,398591.07910767,144546.60165408,,DC
223541607,470,18th & Monroe St NE,31521,38.93293,-76.979517,YES,NO,,,NO,13,5,401775.95435655,140561.00567055,,DC
223541608,471,7th & E St SW,31294,38.88345,-77.021741,YES,NO,,,NO,9,10,398113.66411757,135068.34613835,,DC
223541609,472,Shady Grove Metro East,32067,39.121327,-77.164969,YES,NO,,,NO,7,12,385734.35932116,161487.81062324,,
